gate_id,description,soft_scale_c,val_accuracy,val_correct_count,val_log_loss,val_norm_rps,val_brier,val_ece,val_draw_recall,mean_val_g,test_accuracy,test_correct_count,test_log_loss,test_norm_rps,test_brier,test_ece,test_draw_recall,mean_test_g,rescued_matches_n01,regression_matches_n10,net_gain,mcnemar_p_value
D3_Disagreement_Underdog_Mom,Temporal ONLY when Disagreement AND Underdog Momentum,0.5,0.5963069821119446,10334,0.875823961168166,0.17237516051387997,0.5155602868658208,0.00623772323966724,0.014970059880239521,0.008251586843623773,0.600767366720517,5950,0.8680790263181676,0.169390293584571,0.5106611765071997,0.015099440774837793,0.012142237640936688,0.007926090468497576,38,34,4,0.7236736098317629
D4_Disagreement_Congested,Temporal ONLY when Disagreement AND Congested Rest,0.25,0.5954414310444316,10319,0.8759369577622094,0.17240574211155266,0.5156378595486947,0.00698836995657163,0.015219560878243513,0.006924408540103866,0.599656704361874,5939,0.868034106046333,0.1693655352259515,0.51062447537344,0.016691830434551313,0.011708586296617519,0.006613489499192246,20,27,-7,0.3814705611511898
D3_Disagreement_Underdog_Mom,Temporal ONLY when Disagreement AND Underdog Momentum,0.75,0.5956145412579342,10322,0.8759489897234134,0.1724211712634821,0.5156523717651561,0.007084609098610344,0.014471057884231538,0.01237738026543566,0.599656704361874,5939,0.868275631280311,0.16945615153037077,0.5107977084181913,0.015944441481276554,0.012142237640936688,0.011889135702746365,44,51,-7,0.538167125969846
D1_Disagreement_Close_Elo,Temporal ONLY when Disagreement AND Close Elo,1.0,0.5948066935949221,10308,0.8761491013830919,0.1724322723297949,0.515759059583658,0.008557145660039825,0.01347305389221557,0.0241200230813618,0.5980411954765751,5923,0.8685119579819274,0.16950337198059368,0.5109592838314259,0.018111118548019337,0.011708586296617519,0.022819063004846526,67,90,-23,0.07912407678835909
G6_Learned_Meta_Gate,Learned regularized logistic meta-classifier,1.0,0.5956145412579342,10322,0.8765378262383539,0.17246620616531208,0.5159596844153446,0.012348084268177267,0.0027445109780439123,0.4316699398709913,0.6014741518578353,5957,0.8689558945078744,0.16946999466281482,0.5111712583252157,0.015765919472113827,0.002168256721595837,0.43175180916570804,141,130,11,0.5435478438647333
D0_Disagreement_Only,Temporal ONLY when Champion and Temporal disagree,0.75,0.5946912867859203,10306,0.8759694102987589,0.17246639943672817,0.5157237097156889,0.0073055858976523586,0.0,0.06794575879976919,0.5994547657512116,5937,0.8684398332416715,0.16951790515171544,0.5109440147308589,0.01415954239937038,0.0004336513443191674,0.06504947495961227,222,231,-9,0.7070114711848664
G1_Global_Temporal,Global temporal replacement (g=1 everywhere),0.5,0.5955568378534334,10321,0.8767089971841661,0.17246684773830212,0.515895543898756,0.01064417653883364,0.0007485029940119761,0.5,0.6009693053311793,5952,0.8690826154586706,0.16946592322542184,0.510972233381157,0.014710304051765566,0.0017346053772766695,0.5,160,154,6,0.7778159791275583
G5_Strong_Underdog_Gate,Temporal ONLY for underdogs with positive momentum,0.5,0.5963069821119446,10334,0.8765346418945327,0.1724877355516358,0.5158536746654245,0.00741508462449688,0.014970059880239521,0.1451529140219273,0.600767366720517,5950,0.8687520898764166,0.1695693669353256,0.5110429624315898,0.01650520986281448,0.012142237640936688,0.14433562197092084,38,34,4,0.7236736098317629
D3_Disagreement_Underdog_Mom,Temporal ONLY when Disagreement AND Underdog Momentum,1.0,0.5946335833814195,10305,0.8761601815561189,0.17249437104244478,0.5158029291599902,0.008399540703369283,0.014471057884231538,0.016503173687247547,0.598546042003231,5928,0.868556325558199,0.16954756942833898,0.5109900187033817,0.017303763368004012,0.012142237640936688,0.015852180936995152,50,68,-18,0.11758833741790686
D4_Disagreement_Congested,Temporal ONLY when Disagreement AND Congested Rest,0.5,0.5952106174264281,10315,0.8761946344805651,0.17249620914752214,0.5158289185029603,0.007083607187070974,0.013722554890219561,0.013848817080207732,0.5988489499192245,5931,0.8682777646540727,0.16944541340722327,0.5107991733604571,0.016852693783179825,0.010841283607979185,0.013226978998384492,36,51,-15,0.1333665417926817
