date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,gate_pred,category,gate_weight_g,champ_p_away,champ_p_draw,champ_p_home,gate_p_away,gate_p_draw,gate_p_home,elo_home,elo_away,abs_elo_diff,home_rest_days,away_rest_days,home_form5_pts,away_form5_pts,avg_volatility,is_regime_1,is_regime_2,is_regime_3,is_regime_4,is_regime_5,is_regime_6,is_regime_7,is_regime_8,is_regime_9
2024-03-21,Bosnia and Herzegovina,Ukraine,1,2,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,2,2,2,2,A_Both_Correct,0.25,0.22837087306841264,0.29243613103203714,0.4791929958995502,0.2168830287136206,0.28610412053817563,0.49701285074820384,1592.5275037318604,1851.2676740192078,258.7401702873474,60.0,60.0,0.6,1.6,30.0,False,False,True,False,True,True,False,False,True
2024-03-21,Georgia,Luxembourg,2,0,UEFA Euro qualification,Tbilisi,Georgia,False,0,0,0,0,A_Both_Correct,0.25,0.747305274118255,0.16311012051144924,0.08958460537029571,0.7409499582886935,0.16724874241342222,0.09180129929788432,1656.8658087601102,1494.2742455537903,162.59156320631996,60.0,60.0,1.4,1.4,19.02046426975805,False,False,False,False,False,False,True,False,True
2024-03-21,Greece,Kazakhstan,5,0,UEFA Euro qualification,Athens,Greece,False,0,0,0,0,A_Both_Correct,0.25,0.8117094135926345,0.12743887246449992,0.06085171394286551,0.7918753672421535,0.14179590682141804,0.06632872593642862,1741.4104521103197,1491.036307016703,250.3741450936168,60.0,7.0,2.0,1.8,20.431925040162152,True,False,True,False,False,False,False,False,False
2024-03-21,Qatar,Kuwait,3,0,FIFA World Cup qualification,Doha,Qatar,False,0,0,0,0,A_Both_Correct,0.25,0.805837196038082,0.12955815400708728,0.06460464995483074,0.794448395580015,0.1379377447447822,0.06761385967520275,1713.7341806822928,1459.1979450549254,254.53623562736743,40.0,60.0,2.6,0.6,27.81636687272055,False,False,True,True,True,True,False,False,True
2024-03-21,Afghanistan,India,0,0,FIFA World Cup qualification,Abha,Saudi Arabia,True,1,1,2,2,D_Both_Wrong,0.25,0.24109147584614896,0.20966704072777648,0.5492414834260746,0.2258052063594888,0.20390850443450437,0.5702862892060068,1279.5037469941863,1400.5349118442327,121.03116485004648,60.0,58.0,1.2,0.6,20.903822059554823,True,True,False,False,True,False,False,False,True
2024-03-21,Myanmar,Syria,1,1,FIFA World Cup qualification,Yangon,Myanmar,False,1,1,2,2,D_Both_Wrong,0.25,0.08307650068362939,0.17655996981292413,0.7403635295034464,0.07121531483495179,0.15376125702656196,0.7750234281384862,1151.9481561957896,1551.253687158222,399.3055309624324,60.0,50.0,1.4,1.2,28.460122638168063,True,False,True,False,False,True,False,False,True
2024-03-21,South Korea,Thailand,1,1,FIFA World Cup qualification,Seoul,South Korea,False,1,1,0,0,D_Both_Wrong,0.25,0.8304219375441428,0.12260914800920503,0.04696891444665216,0.8373300197195818,0.11759147647217608,0.045078503808242236,1850.9679942456544,1542.9189520495975,308.0490421960569,44.0,51.0,1.2,1.0,18.2611517579333,False,False,True,False,False,False,True,False,True
2024-03-21,Japan,North Korea,1,0,FIFA World Cup qualification,Tokyo,Japan,False,0,0,0,0,A_Both_Correct,0.25,0.8395830465136298,0.10820668125845836,0.05221027222791184,0.8521589724790964,0.1008647177709471,0.046976309749956584,1925.1859151883045,1532.6630083592318,392.5229068290728,47.0,60.0,1.8,1.0,21.924205120506954,False,False,True,False,False,False,False,False,True
2024-03-21,Israel,Iceland,1,4,UEFA Euro qualification,Budapest,Hungary,True,2,2,0,0,D_Both_Wrong,0.25,0.4514800365715604,0.25786966777843406,0.2906502956500057,0.44978435739952705,0.2657350031362219,0.2844806394642512,1620.6728114877292,1584.368821007073,36.30399048065624,60.0,60.0,1.4,1.8,19.625462719466654,False,False,False,False,False,False,True,False,True
2024-03-22,Mauritania,Mali,0,2,Friendly,Marrakesh,Morocco,True,2,2,2,2,A_Both_Correct,0.25,0.1489343618708582,0.2824471238883929,0.5686185142407489,0.18486847306426626,0.28789158164902817,0.5272399452867056,1493.87050089665,1719.8596219373198,225.98912104066994,53.0,48.0,0.8,1.6,15.033890124864055,False,False,False,False,False,False,True,False,True
