date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2019-03-23,Antigua and Barbuda,Curaçao,2,1,CONCACAF Nations League qualification,North Sound,Antigua and Barbuda,False,0,0,0,2,B_Regression_R4_Wrong,0.42630648830591866,0.2511393995826454,0.322554112111436,0.3107410834380291,0.25225842125265585,0.43700049530931495
2019-03-24,British Virgin Islands,Bonaire,1,2,CONCACAF Nations League qualification,The Valley,Anguilla,True,2,2,2,0,B_Regression_R4_Wrong,0.37287023858675283,0.15159687258624574,0.47553288882700134,0.4354099893541211,0.17491575248469787,0.3896742581611809
2019-03-24,Israel,Austria,4,2,UEFA Euro qualification,Haifa,Israel,False,0,0,0,2,B_Regression_R4_Wrong,0.34939800770207263,0.30167440240227067,0.34892758989565664,0.29929709725636744,0.3198119976240419,0.3808909051195906
2019-06-04,Chameria,Sápmi,4,0,CONIFA European Football Cup,Martakert,Azerbaijan,True,0,0,0,2,B_Regression_R4_Wrong,0.48864728448785877,0.17261385543576693,0.3387388600763743,0.3604181329612093,0.1712505857711783,0.4683312812676123
2019-06-05,Lesotho,Botswana,1,2,COSAFA Cup,Durban,South Africa,True,2,2,2,0,B_Regression_R4_Wrong,0.32528353983032204,0.31839922488533606,0.35631723528434195,0.3382451951041276,0.32954743097608213,0.33220737391979016
2019-06-09,Peru,Colombia,0,3,Friendly,Lima,Peru,False,2,2,2,1,B_Regression_R4_Wrong,0.2785698482321011,0.34855863958282773,0.3728715121850711,0.2950810928730618,0.35661241264496846,0.3483064944819697
2019-06-11,Hungary,Wales,1,0,UEFA Euro qualification,Budapest,Hungary,False,0,0,0,2,B_Regression_R4_Wrong,0.38026035593353774,0.3114591352485933,0.308280508817869,0.31144866755882694,0.3226529930287708,0.3658983394124023
2019-06-15,Argentina,Colombia,0,2,Copa América,Salvador,Brazil,True,2,2,2,0,B_Regression_R4_Wrong,0.33784342824142743,0.3088869199387566,0.3532696518198159,0.3924626418897273,0.27150134126581565,0.3360360168444571
2019-06-16,Alderney,Hitra,2,4,Inter Games,Anglesey,Wales,True,2,2,2,0,B_Regression_R4_Wrong,0.3381116615085122,0.2567195602731104,0.4051687782183774,0.5852267767138092,0.1890588825996961,0.22571434068649468
2019-07-14,Algeria,Nigeria,2,1,African Cup of Nations,Cairo,Egypt,True,0,0,0,2,B_Regression_R4_Wrong,0.3509686018664902,0.3011072283957989,0.34792416973771095,0.3316265284759679,0.2762751156400402,0.39209835588399183
