matchup_possession_diff,matchup_directness_diff,matchup_pressing_diff,matchup_tempo_diff,matchup_width_diff,tactical_h_press_vs_a_possession,tactical_a_press_vs_h_possession,tactical_h_direct_vs_a_compact,tactical_a_direct_vs_h_compact,tactical_width_vs_backline_diff,inter_continuity_x_tactical_stab,inter_replacement_x_formation_changed,inter_star_reliance_x_possession
5.0,1.7999999999999972,19.0,3.6000000000000014,0.0,1.104,0.8363999999999999,0.7675199999999999,0.8280000000000001,-0.15000000000000002,0.49199999999999994,0.0,0.0
2.0,-0.6000000000000014,2.0,-4.0,0.0,1.4416000000000002,1.4520000000000002,0.8798399999999998,1.00488,-0.30000000000000004,0.0,0.0,0.0
0.0,0.0,-8.0,0.7999999999999972,0.0,0.5336,0.6808000000000001,0.666,0.5760000000000001,-0.15000000000000002,0.0,0.0,0.0
-10.0,-2.3999999999999986,-35.0,-0.3999999999999986,0.0,0.7480000000000001,1.242,0.918,0.64464,-0.7,0.0,0.0,0.0
-7.0,-1.7999999999999972,-35.0,-0.3999999999999986,0.0,0.6912,1.2596,0.89376,0.60672,-0.7,0.0,0.0,0.0
4.0,1.1999999999999957,32.0,0.8000000000000043,0.0,1.1656,0.612,0.5428799999999999,0.80256,-0.15000000000000002,0.49199999999999994,0.0,0.0
-5.0,-1.7999999999999972,-24.0,-2.3999999999999986,0.0,0.7343999999999999,1.104,0.774,0.63648,-0.7,0.0,0.0,0.0
-1.0,-0.6000000000000014,-4.0,0.7999999999999972,0.0,1.3824,1.4416000000000002,0.9172799999999999,0.87216,-0.15000000000000002,0.656,0.0,0.0
7.0,1.7999999999999972,27.0,0.3999999999999986,0.0,1.1592,0.7632,0.6551999999999999,0.864,-0.15000000000000002,0.49199999999999994,0.0,0.0
-1.0,-0.6000000000000014,0.0,-1.5999999999999943,0.0,0.6016,0.5888,0.54,0.5836800000000001,-0.30000000000000004,0.656,0.0,0.0
