match_idx,date,stage,team_home,team_away,home_elo,away_elo,actual_home_score,actual_away_score,actual_scoreline,actual_outcome,static_p_home,static_p_draw,static_p_away,static_pred_outcome,static_correct,static_log_loss,static_rps,static_brier,static_mode_scoreline,static_score_nll,static_score_hit,mds_p_home,mds_p_draw,mds_p_away,mds_pred_outcome,mds_correct,mds_log_loss,mds_rps,mds_brier,mds_mode_scoreline,mds_score_nll,mds_score_hit
63,2026-06-26,Group Stage,Norway,France,1775,2100,1,4,1 - 4,Away,0.2689,0.2978,0.4333,Away,1,0.8363,0.1967,0.4821,1 - 1,4.297,0,0.2694,0.2976,0.433,Away,1,0.8369,0.197,0.4825,1 - 1,4.2957,0
64,2026-06-26,Group Stage,New Zealand,Belgium,1510,1950,1,5,1 - 5,Away,0.2018,0.2815,0.5167,Away,1,0.6603,0.1372,0.3535,1 - 1,5.185,0,0.2014,0.281,0.5175,Away,1,0.6587,0.1367,0.3523,1 - 1,5.174,0
65,2026-06-26,Group Stage,Egypt,IR Iran,1730,1820,1,1,1 - 1,Draw,0.3565,0.308,0.3355,Home,0,1.1777,0.1198,0.7185,1 - 1,1.9293,1,0.3567,0.3076,0.3358,Home,0,1.1791,0.12,0.7194,1 - 1,1.9315,1
66,2026-06-26,Group Stage,Cabo Verde,Saudi Arabia,1640,1660,0,0,0 - 0,Draw,0.3076,0.3089,0.3835,Away,0,1.1748,0.1208,0.7193,1 - 1,2.1777,0,0.3082,0.3085,0.3833,Away,0,1.176,0.1209,0.72,1 - 1,2.1781,0
67,2026-06-27,Group Stage,Algeria,Austria,1760,1830,3,3,3 - 3,Draw,0.3498,0.3126,0.3376,Home,0,1.1629,0.1182,0.7089,1 - 1,5.0953,0,0.35,0.3122,0.3378,Home,0,1.1641,0.1183,0.7097,1 - 1,5.0935,0
68,2026-06-27,Group Stage,Jordan,Argentina,1610,2150,1,3,1 - 3,Away,0.2274,0.2926,0.48,Away,1,0.734,0.1611,0.4077,1 - 1,3.1413,0,0.2278,0.2922,0.48,Away,1,0.7339,0.1611,0.4076,1 - 1,3.1411,0
69,2026-06-27,Group Stage,Colombia,Portugal,1990,2010,0,0,0 - 0,Draw,0.2935,0.3133,0.3932,Away,0,1.1607,0.1204,0.7124,1 - 1,2.1176,0,0.2932,0.3129,0.3939,Away,0,1.162,0.1206,0.7133,1 - 1,2.1176,0
70,2026-06-27,Group Stage,Congo DR,Uzbekistan,1670,1650,3,1,3 - 1,Home,0.402,0.3012,0.2968,Home,1,0.9113,0.2228,0.5364,1 - 1,3.3034,0,0.4019,0.3008,0.2972,Home,1,0.9114,0.223,0.5365,1 - 1,3.3035,0
71,2026-06-27,Group Stage,Panama,England,1680,2050,0,2,0 - 2,Away,0.2341,0.3017,0.4642,Away,1,0.7675,0.171,0.433,1 - 1,2.3343,0,0.2344,0.3014,0.4642,Away,1,0.7673,0.171,0.4328,1 - 1,2.3348,0
72,2026-06-27,Group Stage,Croatia,Ghana,1940,1690,2,1,2 - 1,Home,0.3958,0.3087,0.2955,Home,1,0.9268,0.2262,0.5477,1 - 1,2.4991,0,0.3961,0.3082,0.2957,Home,1,0.9261,0.2261,0.5471,1 - 1,2.5007,0
73,2026-06-28,Round of 32,South Africa,Canada,1620,1795,0,1,0 - 1,Away,0.2616,0.2915,0.4469,Away,1,0.8054,0.1872,0.4593,1 - 1,2.2155,0,0.262,0.2912,0.4468,Away,1,0.8056,0.1873,0.4594,1 - 1,2.2165,0
74,2026-06-29,Round of 32,Brazil,Japan,2030,1880,2,1,2 - 1,Home,0.4043,0.3117,0.284,Home,1,0.9057,0.2178,0.5327,1 - 1,2.502,0,0.4055,0.3111,0.2834,Home,1,0.9027,0.2169,0.5306,1 - 1,2.5022,0
75,2026-06-29,Round of 32,Germany,Paraguay,1970,1725,1,1,1 - 1,Draw,0.4704,0.297,0.2327,Home,0,1.2141,0.1377,0.7696,1 - 1,1.973,1,0.4699,0.2967,0.2334,Home,0,1.215,0.1376,0.7699,1 - 1,1.9747,1
76,2026-06-29,Round of 32,Netherlands,Morocco,1980,1920,1,1,1 - 1,Draw,0.4086,0.3094,0.2821,Home,0,1.1732,0.1232,0.7235,1 - 1,1.9339,1,0.4081,0.309,0.2829,Home,0,1.1745,0.1233,0.7241,1 - 1,1.9359,1
77,2026-06-30,Round of 32,Mexico,Ecuador,1810,1870,2,0,2 - 0,Home,0.3813,0.3165,0.3022,Home,1,0.9642,0.2371,0.5743,1 - 1,2.5648,0,0.3824,0.3162,0.3015,Home,1,0.9614,0.2362,0.5723,1 - 1,2.5614,0
78,2026-06-30,Round of 32,France,Sweden,2100,1815,3,0,3 - 0,Home,0.421,0.3004,0.2785,Home,1,0.8651,0.2064,0.5031,1 - 1,3.3017,0,0.4216,0.2999,0.2785,Home,1,0.8636,0.206,0.502,1 - 1,3.297,0
79,2026-06-30,Round of 32,Côte d'Ivoire,Norway,1750,1775,1,2,1 - 2,Away,0.3469,0.305,0.3481,Away,1,1.0552,0.2726,0.6383,1 - 1,2.5532,0,0.3473,0.3044,0.3483,Away,1,1.0547,0.2727,0.638,1 - 1,2.5543,0
